iter	Passed	Remaining
682	3898	1809
683	3902	1802
684	3906	1796
685	3909	1789
686	3912	1782
687	3915	1775
688	3920	1769
689	3924	1763
690	3927	1756
691	3930	1749
692	3934	1742
693	3937	1736
694	3940	1729
695	3943	1722
696	3946	1715
697	3950	1709
698	3953	1702
699	3956	1695
700	3959	1688
701	3961	1681
702	3966	1675
703	3972	1670
704	3975	1663
705	3979	1657
706	3986	1652
707	3991	1646
708	3997	1640
709	4002	1635
710	4009	1629
711	4013	1623
712	4017	1616
713	4022	1611
714	4027	1605
715	4031	1598
716	4034	1592
717	4038	1586
718	4042	1580
719	4046	1573
720	4051	1567
721	4054	1561
722	4059	1555
723	4064	1549
724	4067	1542
725	4071	1536
726	4074	1529
727	4078	1523
728	4081	1517
729	4084	1510
730	4088	1504
731	4091	1497
732	4095	1491
733	4098	1485
734	4105	1480
735	4107	1473
736	4111	1467
737	4114	1460
738	4118	1454
739	4121	1448
740	4124	1441
741	4127	1435
742	4131	1428
743	4134	1422
744	4137	1416
745	4140	1409
746	4144	1403
747	4148	1397
748	4153	1391
749	4157	1385
750	4162	1380
751	4168	1374
752	4171	1368
753	4175	1362
754	4181	1356
755	4184	1350
756	4189	1344
757	4195	1339
758	4199	1333
759	4203	1327
760	4209	1322
761	4212	1315
762	4215	1309
763	4218	1303
764	4222	1297
765	4225	1290
766	4228	1284
767	4231	1278
768	4234	1272
769	4238	1266
770	4244	1260
771	4247	1254
772	4251	1248
773	4254	1242
774	4257	1236
775	4260	1229
776	4264	1223
777	4267	1217
778	4270	1211
779	4273	1205
780	4276	1199
781	4279	1193
782	4286	1187
783	4289	1181
784	4293	1175
785	4296	1169
786	4299	1163
787	4302	1157
788	4305	1151
789	4308	1145
790	4312	1139
791	4315	1133
792	4318	1127
793	4321	1121
794	4324	1115
795	4327	1108
796	4330	1103
797	4337	1097
798	4341	1092
799	4345	1086
800	4351	1081
801	4355	1075
802	4360	1069
803	4363	1063
804	4367	1057
805	4370	1051
806	4374	1046
807	4377	1040
808	4380	1034
809	4387	1029
810	4391	1023
811	4395	1017
812	4399	1011
813	4402	1006
814	4405	1000
815	4408	994
816	4411	988
817	4414	982
818	4419	976
819	4424	971
820	4427	965
821	4430	959
822	4434	953
823	4437	947
824	4440	942
825	4444	936
826	4450	930
827	4453	925
828	4456	919
829	4459	913
830	4462	907
831	4466	901
832	4472	896
833	4475	890
834	4478	884
835	4481	879
836	4484	873
837	4487	867
838	4492	862
839	4495	856
840	4498	850
841	4501	844
842	4504	838
843	4508	833
844	4516	828
845	4520	822
846	4523	817
847	4527	811
848	4531	806
849	4536	800
850	4541	795
851	4545	789
852	4548	783
853	4552	778
854	4557	772
855	4560	767
856	4567	762
857	4572	756
858	4576	751
859	4579	745
860	4582	739
861	4585	734
862	4591	728
863	4596	723
864	4602	718
865	4608	713
866	4613	707
867	4619	702
868	4623	696
869	4630	691
870	4633	686
871	4636	680
872	4639	674
873	4645	669
874	4649	664
875	4652	658
876	4655	652
877	4662	647
878	4665	642
879	4668	636
880	4674	631
881	4678	625
882	4682	620
883	4685	614
884	4692	609
885	4695	604
886	4698	598
887	4701	592
888	4706	587
889	4710	582
890	4715	576
891	4720	571
892	4725	566
893	4729	560
894	4733	555
895	4736	549
896	4739	544
897	4744	538
898	4750	533
899	4754	528
900	4757	522
901	4760	517
902	4765	511
903	4769	506
904	4772	501
905	4775	495
906	4779	490
907	4786	485
908	4790	479
909	4793	474
910	4797	468
911	4800	463
912	4803	457
913	4806	452
914	4809	446
915	4812	441
916	4815	435
917	4818	430
918	4822	425
919	4825	419
920	4832	414
921	4835	409
922	4838	403
923	4841	398
924	4846	392
925	4850	387
926	4853	382
927	4856	376
928	4859	371
929	4863	366
930	4866	360
931	4869	355
932	4872	349
933	4878	344
934	4882	339
935	4885	334
936	4888	328
937	4891	323
938	4896	318
939	4905	313
940	4910	307
941	4913	302
942	4916	297
943	4920	291
944	4924	286
945	4934	281
946	4938	276
947	4942	271
948	4946	265
949	4949	260
950	4952	255
951	4955	249
952	4958	244
953	4961	239
954	4965	233
955	4970	228
956	4974	223
957	4977	218
958	4981	212
959	4983	207
960	4987	202
961	4991	197
962	4995	191
963	4998	186
964	5001	181
965	5004	176
966	5007	170
967	5011	165
968	5017	160
969	5020	155
970	5024	150
971	5027	144
972	5030	139
973	5033	134
974	5036	129
975	5040	123
976	5043	118
977	5046	113
978	5050	108
979	5053	103
980	5061	98
981	5064	92
982	5067	87
983	5071	82
984	5074	77
985	5077	72
986	5080	66
987	5083	61
988	5093	56
989	5097	51
990	5102	46
991	5106	41
992	5114	36
993	5119	30
994	5124	25
995	5127	20
996	5131	15
997	5134	10
998	5137	5
999	5140	0
